Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1980;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche km2  ;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 31.12.1980;;;;;;am 31.12.1980 (Jahr);;;;
;;;;;;;;;;;;
10;;1;;;;;Schleswig-Holstein;;;;;
40;;1;0;1;;;Flensburg, Stadt;;;;;
60;;1;0;1;;0;Flensburg, Stadt;56,35; 87 862; 41 182; 46 680;1 559
40;;1;0;2;;;Kiel, Landeshauptstadt;;;;;
60;;1;0;2;;0;Kiel, Landeshauptstadt;110,37; 250 062; 118 188; 131 874;2 266
40;;1;0;3;;;Lübeck, Hansestadt;;;;;
60;;1;0;3;;0;Lübeck, Hansestadt;214,23; 220 588; 102 340; 118 248;1 030
40;;1;0;4;;;Neumünster, Stadt;;;;;
60;;1;0;4;;0;Neumünster, Stadt;71,56; 80 145; 37 692; 42 453;1 120
40;;1;0;51;;;Dithmarschen;;;;;
60;;1;0;51;;1;Albersdorf;17,12; 3 508; 1 842; 1 666;205
60;;1;0;51;;2;Arkebek;6,92;204;101;103;29
60;;1;0;51;;3;Averlak;9,06;636;303;333;70
60;;1;0;51;;4;Bargenstedt;11,93;782;389;393;66
60;;1;0;51;;5;Barkenholm;5,08;187;100;87;37
60;;1;0;51;;6;Barlt;22,88;839;400;439;37
60;;1;0;51;;8;Bergewöhrden;2,64;33;15;18;13
60;;1;0;51;;10;Brickeln;6,07;158;86;72;26
60;;1;0;51;;11;Brunsbüttel, Stadt;65,19; 12 311; 6 002; 6 309;189
60;;1;0;51;;12;Buchholz;14,54;887;437;450;61
60;;1;0;51;;13;Büsum;8,32; 5 979; 2 725; 3 254;719
60;;1;0;51;;14;Büsumer Deichhausen;2,72;374;166;208;138
60;;1;0;51;;15;Bunsoh;11,7;748;380;368;64
60;;1;0;51;;16;Burg (Dithmarschen);11,21; 3 893; 1 724; 2 169;347
60;;1;0;51;;17;Busenwurth;10,07;276;138;138;27
60;;1;0;51;;19;Dellstedt;21,74;760;377;383;35
60;;1;0;51;;20;Delve;11,86;567;271;296;48
60;;1;0;51;;21;Diekhusen-Fahrstedt;7,61;594;263;331;78
60;;1;0;51;;22;Dingen;7,03;586;292;294;83
60;;1;0;51;;23;Dörpling;7,79;533;276;257;68
60;;1;0;51;;24;Eddelak;9,21; 1 336;670;666;145
60;;1;0;51;;26;Eggstedt;12,79;711;355;356;56
60;;1;0;51;;27;Elpersbüttel;23,27;729;367;362;31
60;;1;0;51;;28;Epenwöhrden;13,53;618;308;310;46
60;;1;0;51;;30;Fedderingen;9,69;281;136;145;29
60;;1;0;51;;32;Frestedt;10,32;392;189;203;38
60;;1;0;51;;33;Friedrichsgabekoog;7,39;87;45;42;12
60;;1;0;51;;34;Friedrichskoog;54,97; 2 806; 1 401; 1 405;51
60;;1;0;51;;35;Gaushorn;6,45;195;88;107;30
60;;1;0;51;;36;Glüsing;4,68;126;67;59;27
60;;1;0;51;;37;Grossenrade;10,41;432;209;223;41
60;;1;0;51;;38;Groven;8;135;64;71;17
60;;1;0;51;;39;Gudendorf;6,02;384;187;197;64
60;;1;0;51;;40;Hägen;2,85;80;40;40;28
60;;1;0;51;;43;Hedwigenkoog;16,35;288;161;127;18
60;;1;0;51;;44;Heide, Stadt;31,9; 21 104; 9 521; 11 583;662
60;;1;0;51;;45;Hellschen-Heringsand-Unterschaar;6,87;174;83;91;25
60;;1;0;51;;46;Helse;11,46;905;471;434;79
60;;1;0;51;;47;Hemme;16,49;586;282;304;36
60;;1;0;51;;48;Hemmingstedt;16,02; 2 898; 1 398; 1 500;181
60;;1;0;51;;49;Hennstedt;21,92; 1 773;868;905;81
60;;1;0;51;;50;Hillgroven;3,61;110;57;53;30
60;;1;0;51;;51;Hochdonn;5,44; 1 084;519;565;199
60;;1;0;51;;52;Hövede;2,88;60;27;33;21
60;;1;0;51;;53;Hollingstedt;9,7;332;159;173;34
60;;1;0;51;;54;Immenstedt;3,09;108;61;47;35
60;;1;0;51;;57;Kaiser-Wilhelm-Koog;13,06;409;208;201;31
60;;1;0;51;;58;Karolinenkoog;17,49;178;105;73;10
60;;1;0;51;;60;Kleve;12,75;414;216;198;32
60;;1;0;51;;61;Krempel;4,83;567;277;290;117
60;;1;0;51;;62;Kronprinzenkoog;28,82;964;493;471;33
60;;1;0;51;;63;Krumstedt;15,88;492;240;252;31
60;;1;0;51;;64;Kuden;11,36;565;283;282;50
60;;1;0;51;;65;Lehe;18,41; 1 129;540;589;61
60;;1;0;51;;67;Lieth;4,65;283;141;142;61
60;;1;0;51;;68;Linden;11,59;719;357;362;62
60;;1;0;51;;69;Lohe-Rickelshof;5,39; 1 836;897;939;341
60;;1;0;51;;71;Lunden;4,64; 1 909;839; 1 070;411
60;;1;0;51;;72;Marne, Stadt;4,92; 5 624; 2 534; 3 090;1 143
60;;1;0;51;;73;Marnerdeich;1,31;307;142;165;234
60;;1;0;51;;74;Meldorf, Stadt;17,83; 7 267; 3 356; 3 911;408
60;;1;0;51;;75;Neuenkirchen;25,14;992;466;526;39
60;;1;0;51;;76;Neufeld;10,44;715;352;363;68
60;;1;0;51;;77;Neufelderkoog;9,76;161;87;74;16
60;;1;0;51;;78;Nindorf;8,72;966;480;486;111
60;;1;0;51;;79;Norddeich;6,9;444;227;217;64
60;;1;0;51;;80;Norderheistedt;4,33;109;49;60;25
60;;1;0;51;;81;Norderwöhrden;18,44;355;187;168;19
60;;1;0;51;;82;Nordhastedt;26,55; 2 238; 1 083; 1 155;84
60;;1;0;51;;83;Odderade;11,28;306;151;155;27
60;;1;0;51;;84;Oesterdeichstrich;4,64;203;104;99;44
60;;1;0;51;;85;Offenbüttel;14,25;279;132;147;20
60;;1;0;51;;86;Osterrade;17,11;505;267;238;30
60;;1;0;51;;87;Ostrohe;6,71;844;441;403;126
60;;1;0;51;;88;Pahlen;10,82; 1 021;496;525;94
60;;1;0;51;;89;Quickborn;6,96;175;103;72;25
60;;1;0;51;;90;Ramhusen;4,8;188;90;98;39
60;;1;0;51;;92;Rehm-Flehde-Bargen;14,66;643;330;313;44
60;;1;0;51;;93;Reinsbüttel;6,82;359;168;191;53
60;;1;0;51;;96;Sankt Annen;15,08;329;166;163;22
60;;1;0;51;;97;Sankt Michaelisdonn;23,07; 3 423; 1 633; 1 790;148
60;;1;0;51;;98;Sarzbüttel;13,34;611;284;327;46
60;;1;0;51;;99;Schafstedt;18,51; 1 159;562;597;63
60;;1;0;51;;100;Schalkholz;12,5;564;279;285;45
60;;1;0;51;;102;Schlichting;12,5;291;144;147;23
60;;1;0;51;;103;Schmedeswurth;5,92;228;116;112;39
60;;1;0;51;;104;Schrum;5;72;32;40;14
60;;1;0;51;;105;Schülp;9,27;533;261;272;57
60;;1;0;51;;106;Schwienhusen;4;165;81;84;41
60;;1;0;51;;107;Stelle-Wittenwurth;10,7;381;178;203;36
60;;1;0;51;;108;Strübbel;4,4;127;66;61;29
60;;1;0;51;;109;Süderdeich;6,63;426;208;218;64
60;;1;0;51;;110;Süderhastedt;15,75;738;328;410;47
60;;1;0;51;;111;Süderheistedt;5,56;453;239;214;81
60;;1;0;51;;113;Wöhrden;21,59; 1 144;570;574;53
60;;1;0;51;;114;Tellingstedt;21,11; 2 329; 1 099; 1 230;110
60;;1;0;51;;117;Tielenhemme;12,71;145;70;75;11
60;;1;0;51;;118;Trennewurth;7,81;336;166;170;43
60;;1;0;51;;119;Volsemenhusen;16,6;424;205;219;26
60;;1;0;51;;120;Wallen;1,86;38;20;18;20
60;;1;0;51;;121;Warwerort;2,2;146;66;80;66
60;;1;0;51;;122;Weddingstedt;17,91; 1 739;813;926;97
60;;1;0;51;;125;Welmbüttel;7,6;356;178;178;47
60;;1;0;51;;126;Wennbüttel;4,54;74;44;30;16
60;;1;0;51;;127;Wesselburen, Stadt;5,14; 3 320; 1 510; 1 810;646
60;;1;0;51;;128;Wesselburener Deichhausen;5,08;159;87;72;31
60;;1;0;51;;129;Wesselburenerkoog;21,69;308;169;139;14
60;;1;0;51;;130;Wesseln;3,77; 1 177;589;588;312
60;;1;0;51;;131;Westerborstel;4,12;111;55;56;27
60;;1;0;51;;132;Westerdeichstrich;7,42;713;347;366;96
60;;1;0;51;;133;Wiemerstedt;5,08;146;68;78;29
60;;1;0;51;;134;Windbergen;17,29;729;362;367;42
60;;1;0;51;;135;Wolmersdorf;6,1;301;147;154;49
60;;1;0;51;;136;Wrohm;11,44;681;331;350;60
60;;1;0;51;;137;Nordermeldorf;23,38;611;325;286;26
60;;1;0;51;;138;Tensbüttel-Röst;19,39;575;291;284;30
60;;1;0;51;;139;Süderdorf;16,22;378;197;181;23
60;;1;0;51;;140;Oesterwurth;14,18;295;137;158;21
40;;1;0;53;;;Herzogtum Lauenburg;;;;;
60;;1;0;53;;1;Albsfelde;4,18;54;27;27;13
60;;1;0;53;;2;Alt Mölln;6,44;576;283;293;89
60;;1;0;53;;3;Aumühle;3,47; 3 406; 1 604; 1 802;982
60;;1;0;53;;4;Bäk;4,28;688;307;381;161
60;;1;0;53;;5;Bälau;6,5;222;109;113;34
60;;1;0;53;;6;Basedow;7,47;270;138;132;36
60;;1;0;53;;7;Basthorst;10,82;323;161;162;30
60;;1;0;53;;8;Behlendorf;10,26;321;162;159;31
60;;1;0;53;;9;Berkenthin;10,22; 1 201;554;647;118
60;;1;0;53;;10;Besenthal;12,65;76;36;40;6
60;;1;0;53;;11;Bliestorf;10,35;560;266;294;54
60;;1;0;53;;12;Börnsen;8,42; 3 156; 1 559; 1 597;375
60;;1;0;53;;13;Borstorf;8,64;249;127;122;29
60;;1;0;53;;14;Breitenfelde;12,54; 1 453;679;774;116
60;;1;0;53;;15;Bröthen;10,69;205;105;100;19
60;;1;0;53;;16;Brunsmark;4,29;93;41;52;22
60;;1;0;53;;17;Brunstorf;13,76;527;285;242;38
60;;1;0;53;;18;Buchholz;2,93;142;78;64;48
60;;1;0;53;;19;Buchhorst;5,18;180;88;92;35
60;;1;0;53;;20;Büchen;16,85; 4 458; 2 195; 2 263;265
60;;1;0;53;;21;Dahmker;2,04;74;37;37;36
60;;1;0;53;;22;Dalldorf;6,05;244;112;132;40
60;;1;0;53;;23;Dassendorf;7,94; 2 351; 1 158; 1 193;296
60;;1;0;53;;24;Düchelsdorf;3,01;134;64;70;45
60;;1;0;53;;25;Duvensee;12,4;394;183;211;32
60;;1;0;53;;26;Einhaus;2,53;292;151;141;115
60;;1;0;53;;27;Elmenhorst;13;916;606;310;70
60;;1;0;53;;28;Escheburg;8,91; 1 548;814;734;174
60;;1;0;53;;29;Fitzen;9,11;200;109;91;22
60;;1;0;53;;30;Fredeburg;10,09;55;33;22;5
60;;1;0;53;;31;Fuhlenhagen;5,74;314;159;155;55
60;;1;0;53;;32;Geesthacht, Stadt;33,39; 25 303; 12 144; 13 159;758
