Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
10;;1;;;;;Schleswig-Holstein;;;;;
40;;1;0;1;;;Flensburg, Stadt;;;;;
60;;1;0;1;;0;Flensburg, Stadt;56,36; 86 977; 41 359; 45 618;1 543
40;;1;0;2;;;Kiel, Landeshauptstadt;;;;  ;
60;;1;0;2;;0;Kiel, Landeshauptstadt;111,73; 245 567; 117 627; 127 940;2 198
40;;1;0;3;;;Lübeck, Hansestadt;;;;;
60;;1;0;3;;0;Lübeck, Hansestadt;214,15; 214 758; 100 591; 114 167;1 003
40;;1;0;4;;;Neumünster, Stadt;;;;;
60;;1;0;4;;0;Neumünster, Stadt;71,56; 80 743; 38 528; 42 215;1 128
40;;1;0;51;;;Dithmarschen;;;;;
60;;1;0;51;;1;Albersdorf;17,12; 3 360; 1 642; 1 718;196
60;;1;0;51;;2;Arkebek;6,92;202;99;103;29
60;;1;0;51;;3;Averlak;9,06;614;300;314;68
60;;1;0;51;;4;Bargenstedt;11,91;853;439;414;72
60;;1;0;51;;5;Barkenholm;5,08;201;99;102;40
60;;1;0;51;;6;Barlt;22,88;825;418;407;36
60;;1;0;51;;8;Bergewöhrden;2,64;32;17;15;12
60;;1;0;51;;10;Brickeln;6,07;152;86;66;25
60;;1;0;51;;11;Brunsbüttel, Stadt;65,24; 13 437; 6 571; 6 866;206
60;;1;0;51;;12;Buchholz;14,54;951;485;466;65
60;;1;0;51;;13;Büsum;8,18; 4 803; 2 209; 2 594;587
60;;1;0;51;;14;Büsumer Deichhausen;2,87;311;134;177;108
60;;1;0;51;;15;Bunsoh;11,7;733;375;358;63
60;;1;0;51;;16;Burg (Dithmarschen);11,23; 4 101; 1 935; 2 166;365
60;;1;0;51;;17;Busenwurth;10,07;297;158;139;29
60;;1;0;51;;19;Dellstedt;21,74;764;381;383;35
60;;1;0;51;;20;Delve;15,85;711;332;379;45
60;;1;0;51;;21;Diekhusen-Fahrstedt;7,61;585;286;299;77
60;;1;0;51;;22;Dingen;7,02;636;313;323;91
60;;1;0;51;;23;Dörpling;7,79;582;301;281;75
60;;1;0;51;;24;Eddelak;9,22; 1 431;706;725;155
60;;1;0;51;;26;Eggstedt;12,79;688;341;347;54
60;;1;0;51;;27;Elpersbüttel;23,71;732;383;349;31
60;;1;0;51;;28;Epenwöhrden;13,53;669;351;318;49
60;;1;0;51;;30;Fedderingen;9,69;230;117;113;24
60;;1;0;51;;32;Frestedt;10,32;328;169;159;32
60;;1;0;51;;33;Friedrichsgabekoog;7,39;99;51;48;13
60;;1;0;51;;34;Friedrichskoog;53,96; 2 490; 1 259; 1 231;46
60;;1;0;51;;35;Gaushorn;6,45;191;95;96;30
60;;1;0;51;;36;Glüsing;4,69;103;58;45;22
60;;1;0;51;;37;Großenrade;10,39;445;228;217;43
60;;1;0;51;;38;Groven;7,92;123;58;65;16
60;;1;0;51;;39;Gudendorf;6,02;390;192;198;65
60;;1;0;51;;40;Hägen;2,85;52;30;22;18
60;;1;0;51;;43;Hedwigenkoog;16,38;263;143;120;16
60;;1;0;51;;44;Heide, Stadt;31,92; 20 659; 9 676; 10 983;647
60;;1;0;51;;45;Hellschen-Heringsand-Unterschaar;7,02;159;81;78;23
60;;1;0;51;;46;Helse;11,46;869;461;408;76
60;;1;0;51;;47;Hemme;16,53;527;263;264;32
60;;1;0;51;;48;Hemmingstedt;16,02; 2 872; 1 408; 1 464;179
60;;1;0;51;;49;Hennstedt;21,94; 1 757;862;895;80
60;;1;0;51;;50;Hillgroven;3,6;90;51;39;25
60;;1;0;51;;51;Hochdonn;5,45; 1 140;578;562;209
60;;1;0;51;;52;Hövede;2,93;61;29;32;21
60;;1;0;51;;53;Hollingstedt;9,72;352;183;169;36
60;;1;0;51;;54;Immenstedt;3,09;96;46;50;31
60;;1;0;51;;57;Kaiser-Wilhelm-Koog;13,06;358;182;176;27
60;;1;0;51;;58;Karolinenkoog;17,49;156;87;69;9
60;;1;0;51;;60;Kleve;12,82;423;208;215;33
60;;1;0;51;;61;Krempel;4,83;616;298;318;128
60;;1;0;51;;62;Kronprinzenkoog;28,85; 1 003;515;488;35
60;;1;0;51;;63;Krumstedt;15,89;527;261;266;33
60;;1;0;51;;64;Kuden;11,36;600;295;305;53
60;;1;0;51;;65;Lehe;18,69; 1 015;509;506;54
60;;1;0;51;;67;Lieth;4,65;302;140;162;65
60;;1;0;51;;68;Linden;11,58;753;378;375;65
60;;1;0;51;;69;Lohe-Rickelshof;5,39; 1 790;867;923;332
60;;1;0;51;;71;Lunden;4,64; 1 882;908;974;406
60;;1;0;51;;72;Marne, Stadt;4,91; 5 934; 2 729; 3 205;1 209
60;;1;0;51;;73;Marnerdeich;1,31;335;160;175;256
60;;1;0;51;;74;Meldorf, Stadt;17,83; 7 207; 3 377; 3 830;404
60;;1;0;51;;75;Neuenkirchen;25,14;917;451;466;36
60;;1;0;51;;76;Neufeld;10,44;676;340;336;65
60;;1;0;51;;77;Neufelderkoog;9,76;154;81;73;16
60;;1;0;51;;78;Nindorf;8,72; 1 023;515;508;117
60;;1;0;51;;79;Norddeich;6,9;362;183;179;52
60;;1;0;51;;80;Norderheistedt;4,33;116;54;62;27
60;;1;0;51;;81;Norderwöhrden;18,44;296;144;152;16
60;;1;0;51;;82;Nordhastedt;26,55; 2 290; 1 161; 1 129;86
60;;1;0;51;;83;Odderade;11,28;284;138;146;25
60;;1;0;51;;84;Oesterdeichstrich;4,64;240;118;122;52
60;;1;0;51;;85;Offenbüttel;14,25;293;150;143;21
60;;1;0;51;;86;Osterrade;17,1;510;266;244;30
60;;1;0;51;;87;Ostrohe;6,71;782;394;388;117
60;;1;0;51;;88;Pahlen;10,81; 1 033;532;501;96
60;;1;0;51;;89;Quickborn;6,96;173;80;93;25
60;;1;0;51;;90;Ramhusen;4,8;155;78;77;32
60;;1;0;51;;92;Rehm-Flehde-Bargen;14,66;529;277;252;36
60;;1;0;51;;93;Reinsbüttel;6,83;384;193;191;56
60;;1;0;51;;96;Sankt Annen;15,09;328;163;165;22
60;;1;0;51;;97;Sankt Michaelisdonn;23,07; 3 585; 1 723; 1 862;155
60;;1;0;51;;98;Sarzbüttel;13,33;602;288;314;45
60;;1;0;51;;99;Schafstedt;18,18; 1 158;567;591;64
60;;1;0;51;;100;Schalkholz;12,5;486;236;250;39
60;;1;0;51;;102;Schlichting;12,5;242;118;124;19
60;;1;0;51;;103;Schmedeswurth;5,92;227;120;107;38
60;;1;0;51;;104;Schrum;5;76;37;39;15
60;;1;0;51;;105;Schülp;9,26;445;223;222;48
60;;1;0;51;;107;Stelle-Wittenwurth;10,7;391;191;200;37
60;;1;0;51;;108;Strübbel;4,4;99;52;47;23
60;;1;0;51;;109;Süderdeich;6,63;452;217;235;68
60;;1;0;51;;110;Süderhastedt;15,76;780;362;418;49
60;;1;0;51;;111;Süderheistedt;5,56;448;241;207;81
60;;1;0;51;;113;Wöhrden;21,6; 1 132;574;558;52
60;;1;0;51;;114;Tellingstedt;21,1; 2 225; 1 135; 1 090;105
60;;1;0;51;;117;Tielenhemme;12,71;154;72;82;12
60;;1;0;51;;118;Trennewurth;7,81;307;162;145;39
60;;1;0;51;;119;Volsemenhusen;16,79;394;205;189;23
60;;1;0;51;;120;Wallen;1,86;28;14;14;15
60;;1;0;51;;121;Warwerort;2,2;207;105;102;94
60;;1;0;51;;122;Weddingstedt;17,91; 1 955;998;957;109
60;;1;0;51;;125;Welmbüttel;7,6;357;180;177;47
60;;1;0;51;;126;Wennbüttel;4,54;81;42;39;18
60;;1;0;51;;127;Wesselburen, Stadt;5,14; 3 179; 1 521; 1 658;618
60;;1;0;51;;128;Wesselburener Deichhausen;5,07;127;57;70;25
60;;1;0;51;;129;Wesselburenerkoog;21,86;222;112;110;10
60;;1;0;51;;130;Wesseln;3,76; 1 099;544;555;292
60;;1;0;51;;131;Westerborstel;4,12;85;38;47;21
60;;1;0;51;;132;Westerdeichstrich;7,48;878;424;454;117
60;;1;0;51;;133;Wiemerstedt;5,08;153;69;84;30
60;;1;0;51;;134;Windbergen;17,29;703;344;359;41
60;;1;0;51;;135;Wolmersdorf;6,1;297;150;147;49
60;;1;0;51;;136;Wrohm;11,44;690;346;344;60
60;;1;0;51;;137;Nordermeldorf;23,39;615;328;287;26
