Gemeinden in Deutschland nach Fläche, Einwohner und Postleitzahl am 31.12.2005 (Jahr);;;;;;;;;;;;;
;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel;;;;;Gemeindename;Fläche in km2;Einwohner;;;;Post-leitzahl
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;;
;;Gebietsstand am 31.12.2005 (Jahr);;;;;;am 31.12.2005 (Jahr);;;;;
;;;;;;;;;;;;;
10;;1;;;;;Schleswig-Holstein;;;;;;
40;41;1;0;1;;;Flensburg, Stadt;;;;;;
60;61;1;0;1;0;0;Flensburg, Stadt;56,38; 86 080; 41 968; 44 112;;24937
40;41;1;0;2;;;Kiel, Landeshauptstadt;;;;;;
60;61;1;0;2;0;0;Kiel, Landeshauptstadt;118,4; 234 433; 114 145; 120 288;;24103
40;41;1;0;3;;;Lübeck, Hansestadt;;;;;;
60;61;1;0;3;0;0;Lübeck, Hansestadt;214,13; 211 825; 100 752; 111 073;;23539
40;41;1;0;4;;;Neumünster, Stadt;;;;;;
60;61;1;0;4;0;0;Neumünster, Stadt;71,63; 78 072; 38 064; 40 008;;24534
40;43;1;0;51;;;Dithmarschen;;;;;;
60;63;1;0;51;0;11;Brunsbüttel, Stadt;65,24; 13 751; 6 792; 6 959;;25541
60;64;1;0;51;0;34;Friedrichskoog;53,35; 2 511; 1 253; 1 258;;25718
60;63;1;0;51;0;44;Heide, Stadt;31,97; 20 745; 9 849; 10 896;;25746
60;63;1;0;51;0;72;Marne, Stadt;4,83; 6 013; 2 849; 3 164;;25709
60;63;1;0;51;0;74;Meldorf, Stadt;21,25; 7 625; 3 692; 3 933;;25704
60;63;1;0;51;0;127;Wesselburen, Stadt;5,14; 3 093; 1 467; 1 626;;25764
50;55;1;0;51;5103;;Albersdorf;;;;;;
60;64;1;0;51;5103;1;Albersdorf;17,13; 3 564; 1 756; 1 808;;25767
60;64;1;0;51;5103;2;Arkebek;6,92;248;126;122;;25767
60;64;1;0;51;5103;15;Bunsoh;11,7;871;455;416;;25767
60;64;1;0;51;5103;54;Immenstedt;3,09;98;43;55;;25767
60;64;1;0;51;5103;85;Offenbüttel;14,25;285;140;145;;25767
60;64;1;0;51;5103;86;Osterrade;17,09;466;245;221;;25767
60;64;1;0;51;5103;99;Schafstedt;18,18; 1 354;676;678;;25725
60;64;1;0;51;5103;104;Schrum;5;77;39;38;;25782
60;64;1;0;51;5103;126;Wennbüttel;4,54;79;40;39;;25767
