Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2015 (Jahr);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2
am 31.12.2015 (Jahr) 1)";Bevölkerung;;;;Post-leit-zahl 2);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung;
;;Gebietsstand am 31.12.2015 (Jahr), Fläche im Juli 2017 revidiert  ;;;;;;;"am 31.12.2015 (Jahr) 
auf Grundlage des Zensus 2011";;;;;Zuordnungsstand am 31.12.2014 (Jahr);;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;01;;;;;Schleswig-Holstein;;;;;;;;;;;;;
40;41;01;0;01;;;Flensburg, Stadt;;;;;;;;;;;;;
50;50;01;0;01;0000;;Flensburg, Stadt;;;;;;;;;;;;;
60;61;01;0;01;0000;000;Flensburg, Stadt;56,74; 85 942; 42 767; 43 175; 1 515;24937;9,43751;54,78252;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;02;;;Kiel, Landeshauptstadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;02;0000;;Kiel, Landeshauptstadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;02;0000;000;Kiel, Landeshauptstadt;118,65; 246 306; 119 835; 126 471; 2 076;24103;10,13727;54,321775;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;03;;;Lübeck, Hansestadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;03;0000;;Lübeck, Hansestadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;03;0000;000;Lübeck, Hansestadt;214,21; 216 253; 103 683; 112 570; 1 010;23539;10,683932;53,866269;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;04;;;Neumünster, Stadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;04;0000;;Neumünster, Stadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;04;0000;000;Neumünster, Stadt;71,63; 79 197; 39 118; 40 079; 1 106;24534;9,988422;54,069895;F04;übrig. Schleswig-Holstein;01;dicht besiedelt;
40;43;01;0;51;;;Dithmarschen;;  ;  ;  ;;;;;;;;;
50;50;01;0;51;0011;;Brunsbüttel, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;51;0011;011;Brunsbüttel, Stadt;65,23; 12 740; 6 430; 6 310;  195;25541;9,126939;53,896665;F01;Nordsee;02;mittlere Besiedlungsdichte;
50;50;01;0;51;0044;;Heide, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;51;0044;044;Heide, Stadt;31,97; 21 422; 10 125; 11 297;  670;25746;9,095401;54,195834;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;51;01;0;51;5163;;Burg-St. Michaelisdonn;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5163;003;Averlak;9,07;  584;  303;  281;  64;25715;9,182663;53,941154;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;010;Brickeln;6,07;  204;  103;  101;  34;25712;9,221166;54,00849;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;012;Buchholz;14,56;  997;  503;  494;  68;25712;9,223594;53,987198;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;016;Burg (Dithmarschen);11,23; 4 147; 2 030; 2 117;  369;25712;9,258097;53,995937;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;022;Dingen;7,02;  615;  312;  303;  88;25715;9,125804;53,960888;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;024;Eddelak;9,21; 1 360;  663;  697;  148;25715;9,137789;53,945505;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;026;Eggstedt;12,79;  753;  380;  373;  59;25721;9,25927;54,054535;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;032;Frestedt;10,32;  363;  185;  178;  35;25727;9,175759;54,023639;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;037;Großenrade;10,40;  483;  240;  243;  46;25712;9,223436;54,022051;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;051;Hochdonn;5,46; 1 147;  564;  583;  210;25712;9,29316;54,019565;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;064;Kuden;11,37;  631;  328;  303;  55;25712;9,192822;53,967853;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;089;Quickborn;6,95;  184;  90;  94;  26;25712;9,206619;54,009975;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;097;Sankt Michaelisdonn;23,06; 3 432; 1 696; 1 736;  149;25693;9,122148;53,994438;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;110;Süderhastedt;15,74;  829;  404;  425;  53;25727;9,20886;54,04991;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;51;01;0;51;5166;;Marne-Nordsee;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5166;021;Diekhusen-Fahrstedt;7,46;  741;  375;  366;  99;25709;9,028338;53,942365;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;034;Friedrichskoog;53,35; 2 565; 1 298; 1 267;  48;25718;8,89741;54,013926;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5166;046;Helse;11,44;  868;  440;  428;  76;25709;9,010226;53,977556;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;057;Kaiser-Wilhelm-Koog;13,06;  338;  176;  162;  26;25709;8,926364;53,942933;F01;Nordsee;03;gering besiedelt;
