Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2017 (Jahr);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2 1)
am 31.12.2017";Bevölkerung2);;;;Post-leit-zahl3);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;;;;
;;Gebietsstand am 31.12.2017 (Jahr);;;;;;;am 31.12.2017 (Jahr) ;;;;;Zuordnungsstand am 31.12.2017;;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung
;;;;;;;;;;;;;;;;;;;
10;;1;;;;;Schleswig-Holstein;;;;;;;;;;;;
40;41;1;0;1;;;Flensburg, Stadt;;;;;;;;;;;;
50;50;1;0;1;0;;Flensburg, Stadt;;;;;;;;;;;;
60;61;1;0;1;0;0;Flensburg, Stadt;56,73; 88 519; 44 086; 44 433; 1 560;24937;9,43751;54,78252;F02;Ostsee;1;dicht besiedelt
40;41;1;0;2;;;Kiel, Landeshauptstadt;;;;;;;;;;;;
50;50;1;0;2;0;;Kiel, Landeshauptstadt;;;;;;;;;;;;
60;61;1;0;2;0;0;Kiel, Landeshauptstadt;118,65; 247 943; 120 809; 127 134; 2 090;24103;10,13727;54,321775;F02;Ostsee;1;dicht besiedelt
40;41;1;0;3;;;Lübeck, Hansestadt;;;;;;;;;;;;
50;50;1;0;3;0;;Lübeck, Hansestadt;;;;;;;;;;;;
60;61;1;0;3;0;0;Lübeck, Hansestadt;214,19; 216 318; 103 884; 112 434; 1 010;23552;10,683932;53,866269;F02;Ostsee;1;dicht besiedelt
40;41;1;0;4;;;Neumünster, Stadt;;;;;;;;;;;;
50;50;1;0;4;0;;Neumünster, Stadt;;;;;;;;;;;;
60;61;1;0;4;0;0;Neumünster, Stadt;71,66; 79 335; 39 190; 40 145; 1 107;24534;9,988422;54,069895;F04;übrig. Schleswig-Holstein;1;dicht besiedelt
40;43;1;0;51;;;Dithmarschen;;;;;;;;;;;;
50;50;1;0;51;11;;Brunsbüttel, Stadt;;;;;;;;;;;;
60;63;1;0;51;11;11;Brunsbüttel, Stadt;65,21; 12 704; 6 377; 6 327;195;25541;9,13735;53,896932;F01;Nordsee;2;mittlere Besiedlungsdichte
50;50;1;0;51;44;;Heide, Stadt;;;;;;;;;;;;
60;63;1;0;51;44;44;Heide, Stadt;31,97; 21 699; 10 323; 11 376;679;25746;9,091156;54,193962;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5163;;Burg-St. Michaelisdonn;;;;;;;;;;;;
60;64;1;0;51;5163;3;Averlak;9,06;566;293;273;62;25715;9,182663;53,941154;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;10;Brickeln;6,07;220;112;108;36;25712;9,221166;54,00849;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;12;Buchholz;14,56; 1 010;521;489;69;25712;9,223774;53,987132;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;16;Burg (Dithmarschen);11,25; 4 141; 2 021; 2 120;368;25712;9,26246;53,99748;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;22;Dingen;7,01;621;323;298;89;25715;9,125804;53,960888;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;24;Eddelak;9,21; 1 361;680;681;148;25715;9,137433;53,945888;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;26;Eggstedt;12,79;745;382;363;58;25721;9,25927;54,054535;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;32;Frestedt;10,33;344;178;166;33;25727;9,175759;54,023639;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;37;Großenrade;10,4;470;237;233;45;25712;9,223435;54,02206;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;51;Hochdonn;5,46; 1 101;546;555;202;25712;9,293145;54,019564;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;64;Kuden;11,37;607;312;295;53;25712;9,192822;53,967853;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;89;Quickborn;6,95;192;93;99;28;25712;9,206618;54,009984;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;97;Sankt Michaelisdonn;23,06; 3 417; 1 691; 1 726;148;25693;9,122148;53,994438;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;110;Süderhastedt;15,74;808;385;423;51;25727;9,20886;54,04991;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;51;5166;;Marne-Nordsee;;;;;;;;;;;;
60;64;1;0;51;5166;21;Diekhusen-Fahrstedt;7,46;712;354;358;95;25709;9,023165;53,946249;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;34;Friedrichskoog;53,27; 2 570; 1 318; 1 252;48;25718;8,89741;54,013926;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;46;Helse;11,44;836;429;407;73;25709;9,010226;53,977556;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;57;Kaiser-Wilhelm-Koog;13,05;359;187;172;28;25709;8,926364;53,942933;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;62;Kronprinzenkoog;28,84;811;417;394;28;25709;8,964528;53,97171;F01;Nordsee;3;gering besiedelt
60;63;1;0;51;5166;72;Marne, Stadt;4,83; 5 832; 2 793; 3 039; 1 207;25709;9,008761;53,953695;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;73;Marnerdeich;1,31;404;213;191;308;25709;8,982956;53,948483;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;76;Neufeld;10,4;574;286;288;55;25724;9,019046;53,907224;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;77;Neufelderkoog;9,77;122;65;57;12;25724;8,968827;53,906958;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;90;Ramhusen;4,8;159;80;79;33;25715;9,090658;53,941207;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;103;Schmedeswurth;5,91;183;98;85;31;25724;9,040335;53,926172;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;118;Trennewurth;7,79;244;134;110;31;25693;9,025792;54,000236;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;119;Volsemenhusen;16,78;355;193;162;21;25693;9,065625;53,967901;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5169;;Eider;;;;;;;;;;;;
60;64;1;0;51;5169;5;Barkenholm;5,11;160;86;74;31;25791;9,174339;54,237387;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;8;Bergewöhrden;2,64;33;14;19;13;25779;9,209426;54,318469;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;19;Dellstedt;21,77;741;387;354;34;25786;9,369143;54,237892;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;20;Delve;15,84;696;351;345;44;25788;9,252365;54,303978;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;23;Dörpling;7,82;602;308;294;77;25794;9,301925;54,260654;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;30;Fedderingen;9,69;286;144;142;30;25779;9,132642;54,281144;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;35;Gaushorn;6,45;170;83;87;26;25782;9,225318;54,194896;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;36;Glüsing;4,69;110;60;50;23;25779;9,216421;54,274547;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;38;Groven;7,9;86;55;31;11;25774;8,989147;54,300165;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;47;Hemme;16,53;493;266;227;30;25774;9,010966;54,28021;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;49;Hennstedt;21,93; 1 940;962;978;88;25779;9,168248;54,283636;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;52;Hövede;2,94;61;31;30;21;25782;9,293409;54,243806;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;53;Hollingstedt;9,74;293;139;154;30;25788;9,226797;54,290548;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;58;Karolinenkoog;17,55;149;84;65;8;25774;8,965495;54,292554;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;60;Kleve;12,81;418;219;199;33;25779;9,123229;54,295706;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;61;Krempel;4,82;595;295;300;123;25774;9,027607;54,320019;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;65;Lehe;18,63; 1 093;541;552;59;25774;9,025334;54,344168;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;68;Linden;11,62;867;441;426;75;25791;9,182428;54,252623;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;71;Lunden;4,65; 1 674;859;815;360;25774;9,024249;54,330568;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;80;Norderheistedt;4,33;140;74;66;32;25779;9,146139;54,245331;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;88;Pahlen;10,8; 1 152;579;573;107;25794;9,296387;54,267813;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;92;Rehm-Flehde-Bargen;14,63;511;249;262;35;25776;9,036287;54,303981;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;96;Sankt Annen;14,89;322;174;148;22;25776;9,07975;54,345413;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;100;Schalkholz;12,52;587;293;294;47;25782;9,257028;54,246244;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;102;Schlichting;12,5;240;122;118;19;25779;9,089378;54,31014;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;114;Tellingstedt;21,1; 2 599; 1 265; 1 334;123;25782;9,2822;54,219944;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;117;Tielenhemme;12,68;166;82;84;13;25794;9,398414;54,27746;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;120;Wallen;1,86;34;16;18;18;25788;9,269563;54,284766;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;125;Welmbüttel;7,6;432;206;226;57;25782;9,246826;54,196873;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;131;Westerborstel;4,14;100;47;53;24;25782;9,260601;54,220127;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;133;Wiemerstedt;5,08;152;70;82;30;25779;9,11111;54,269259;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;136;Wrohm;11,45;691;368;323;60;25799;9,379505;54,212642;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;139;Süderdorf;16,21;352;182;170;22;25782;9,343678;54,220732;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;141;Süderheistedt;8,44;554;279;275;66;25779;9,148463;54,23483;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5172;;Heider Umland;;;;;;;;;;;;
60;64;1;0;51;5172;48;Hemmingstedt;16,01; 2 863; 1 421; 1 442;179;25770;9,073156;54,14876;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;67;Lieth;4,66;382;175;207;82;25770;9,060773;54,15531;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;69;Lohe-Rickelshof;5,39; 2 075;988; 1 087;385;25746;9,065603;54,187725;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;75;Neuenkirchen;25,14;963;507;456;38;25792;8,987884;54,235602;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;81;Norderwöhrden;18,47;267;149;118;14;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;82;Nordhastedt;26,56; 2 876; 1 430; 1 446;108;25785;9,182991;54,17205;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;87;Ostrohe;6,66;951;479;472;143;25746;9,130804;54,214;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;107;Stelle-Wittenwurth;10,71;421;201;220;39;25795;9,066849;54,254357;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;113;Wöhrden;21,77; 1 247;621;626;57;25797;8,994508;54,165463;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5172;122;Weddingstedt;17,89; 2 326; 1 162; 1 164;130;25795;9,088863;54,239275;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;130;Wesseln;3,76; 1 439;723;716;383;25746;9,075443;54,208327;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5175;;Mitteldithmarschen;;;;;;;;;;;;
60;64;1;0;51;5175;1;Albersdorf;17,12; 3 717; 1 838; 1 879;217;25767;9,283995;54,146557;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;2;Arkebek;6,92;198;105;93;29;25767;9,250362;54,160197;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;4;Bargenstedt;11,9;939;463;476;79;25704;9,144199;54,095594;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;6;Barlt;22,88;763;388;375;33;25719;9,058002;54,012444;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;15;Bunsoh;11,75;782;404;378;67;25767;9,320225;54,165522;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;17;Busenwurth;10,09;316;165;151;31;25719;9,04131;54,041612;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;27;Elpersbüttel;30,17;865;444;421;29;25704;9,047156;54,072963;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;28;Epenwöhrden;13,52;786;389;397;58;25704;9,052894;54,112805;F04;übrig. Schleswig-Holstein;3;gering besiedelt
